legacy_item_id,slug,product_code,name,description,category_slug,subcategory,size_display,thickness_in,width_in,material_raw,price,seo_title,seo_description,image_url,legacy_views,status,legacy_post_slug
1487,sho-moulding-sho305f,SHO-305F,305 Shoe Rail,,UNASSIGNED,,"3/4 X 3""",0.75,3.0,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/SHO-305F-3d.jpg,0,published,
1523,architrave-pediment-arc401,ARC-401,"Architrave Header Cap Moulding for door header 4-3/4"" arc-401","This is a one piece architrave is also called a door and window header or pediment. It is the top horizontal trim piece over the door or window. It will be wider and thicker than the casing. It has a commanding architectural presence. You do not mitre the casing around the door when you use architrave. The casing comes up each side of the door and butts into the bottom of the architrave. Architrave moulding is a very classic look and can come as a one piece mould, or often built up out of three or more separate trim pieces.",trim-mouldings,Architrave,1-3/4 x 4-3/4,1.75,4.75,wood,,"4-3/4"" Architrave 401",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/ARC-401-3D-architrave-pediment-header.jpg,643,published,architrave-pediment-arc401
1525,backband-moulding-bac1d2,BAC-1D2,Plain Bevel Backband Mould bac-1D2 York Region,This simple and modern bevel design backband mounts to the outside edge of the casing and ads width and depth to the casing. It is rabetted to accomodate a 3/4″ thick casing,trim-mouldings,Backband,13/16 x 1-3/8,0.8125,1.375,wood,,"1-3/8"" Backband Mould 1D2",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-1D2-3D.jpg,280,published,backband-moulding-bac1d2
1526,large-modern-transitional-backband-moulding-bac1l0,BAC-1L0,Large Poplar Backband 1L0 Primed,This modern and transitional design backband mounts to the outside edge of the casing and adds 1″ of width and 1-5/16″ depth. It is rabbeted to accommodate a 3/4″ thick casing,trim-mouldings,Backband,1-5/16 x 1-5/16,1.3125,1.3125,Primed wood,,"1-5/16"" Backband Mould 1L0",Explore our premium %%title%% & transitional mouldings for timeless elegance. Exceptional craftsmanship at Royal Wood Shop.,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-1L0-3D-large-modern-transitional-backband.jpg,413,published,large-modern-transitional-backband-moulding-bac1l0
1527,backband-moulding-bac102,BAC-102,Poplar Backband Trim bac-102,This versatile design backband mounts to the outside edge of any style of casing and ads width and depth to the casing. It is rabetted to accomodate a 3/4″ thick casing,trim-mouldings,Backband,3/4 x 1-1/4,0.75,1.25,wood,,"1-1/4"" Backband Mould 102",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-102-3D-backband-moulding.jpg,344,published,backband-moulding-bac102
1528,backband-moulding-colonial-bac121,BAC-121,Coventry Backband Mould bac-121 York Region,This classic coventry Backband trim mounts to the outside edge of any traditional style casing and ads width and depth to the casing. It is rabetted to accomodate a 3/4″ thick window trim.,trim-mouldings,Backband,13/16 x 1-9/16,0.8125,1.5625,wood,,"1-9/16"" Backband Mould 121",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-121-3D-colonial-backband.jpg,351,published,backband-moulding-colonial-bac121
1529,backband-moulding-modern-transitional-bac154,BAC-154,"Contemporary Backband Trim for depth, character, and architectural detail","This modern and transitional design backband mounts to the outside edge of the casing and adds width and depth to the casing. It is rabetted to accomodate a 3/4″ thick casing. Backband moulding is an excellent way to add depth, character, and architectural detail to standard door and window trim. Installed around the outside edge of casing, it creates a more substantial, custom-built appearance that enhances both traditional and upscale transitional interiors. Backband moulding can also make trim profiles appear larger and more elegant without requiring wider casing boards. Whether you're renovating a heritage home or adding a touch of luxury to a new build, backband moulding delivers a timeless, high-end finish that increases visual appeal and perceived value.",trim-mouldings,Backband,3/4 x 1-1/4,0.75,1.25,wood,,"1-1/4"" Backband Mould 154",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-154-3D-modern-transitional-backband.jpg,403,published,backband-moulding-modern-transitional-bac154
1530,backband-moulding-large-traditional-heritage-bac-174,BAC-174,Large Heritage Backband Moulding Poplar bac-174 Toronto,"Our in stock large Legacy, Heritage / Victorian-style backband adds bold depth and architectural richness to any door or window casing. Its layered, decorative profile enhances standard trim by creating shadow lines and dimensional detail that reflect classic Victorian craftsmanship. Ideal for traditional and heritage-inspired interiors, it elevates even simple casing into a more substantial, custom millwork feature. The larger scale of the profile makes a strong visual statement, helping to frame openings with elegance, presence, and timeless character. It is rabetted to accomodate a 3/4″ thick casing.",trim-mouldings,Backband,1-5/8 x 1-5/8,1.625,1.625,wood,,"1-5/8"" Backband Mould 174",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-174-3D-large-backband.jpg,215,published,backband-moulding-large-traditional-heritage-bac-174
1531,two-inch-door-stop-moulding-bac200,BAC-200,"2"" Door Stop 200",This 2-inch backer strip is more comonly used as a large door shop or shoe moulding on large baseboards. It is also used as a decorative moulding for various cabinetry pieces.,trim-mouldings,Door Stop,"1/2 x 2""",0.5,2.0,wood,,"2"" Door Stop 200",,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-200-3D.jpg,109,published,two-inch-door-stop-moulding-bac200
1532,backerstrip-bac205,BAC-205,2-1/2 backer strip 205,2-1/2″ symmetrical backer strip moulding,trim-mouldings,Decorative,1/2 x 2-1/2,0.5,2.5,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-205-3D.jpg,173,published,
1533,backerstrip-bac405,BAC-405,"4"" Backer Strip 405",4″ symmetrical backer strip moulding,trim-mouldings,Decorative,"1/2 x 4""",0.5,4.0,wood,,,,https://www.royalwoodshop.com/wp-content/uploads/2017/07/Mouldings/BAC-405-3D.jpg,83,published,
